LineCode,StationCode,StationName,Geometry
1,1,西塱,"23 4m 5.27865s N, 113 13m 35.9391s E"
1,2,坑口,"23 4m 53.6474s N, 113 13m 37.8093s E"
1,3,花地湾,"23 5m 23.0767s N, 113 13m 43.3267s E"
1,4,芳村,"23 6m 4.5971s N, 113 13m 49.3509s E"
1,5,黄沙,"23 6m 47.5443s N, 113 14m 4.30756s E"
1,6,长寿路,"23 7m 15.8981s N, 113 14m 13.0037s E"
1,7,陈家祠,"23 7m 42.2635s N, 113 14m 28.0117s E"
1,8,西门口,"23 7m 40.4406s N, 113 15m 1.82162s E"
1,9,公园前,"23 7m 41.2517s N, 113 15m 32.3587s E"
1,10,农讲所,"23 7m 45.4647s N, 113 16m 12.9642s E"
1,11,烈士陵园,"23 7m 45.7226s N, 113 16m 49.1452s E"
1,12,东山口,"23 7m 35.877s N, 113 17m 24.0534s E"
1,13,杨箕,"23 7m 50.7617s N, 113 18m 12.5846s E"
1,14,体育西路,"23 8m 1.48051s N, 113 18m 57.9495s E"
1,15,体育中心,"23 8m 15.2238s N, 113 19m 22.6411s E"
1,16,广州东站,"23 9m 12.8179s N, 113 19m 9.97312s E"
2,1,广州南站,"22 59m 30.1744s N, 113 15m 49.698s E"
2,2,石壁,"22 59m 48.7063s N, 113 16m 21.4914s E"
2,3,会江,"23 0m 56.7268s N, 113 16m 51.8009s E"
2,4,南浦,"23 2m 8.2416s N, 113 17m 16.099s E"
2,5,洛溪,"23 2m 44.0799s N, 113 17m 35.9056s E"
2,6,南洲,"23 4m 2.9038s N, 113 17m 31.235s E"
2,7,东晓南,"23 4m 26.4321s N, 113 17m 19.7563s E"
2,8,江泰路,"23 5m 5.70418s N, 113 16m 30.8422s E"
2,9,昌岗,"23 5m 36.0258s N, 113 16m 17.5874s E"
2,10,江南西,"23 5m 59.64s N, 113 16m 6.91405s E"
2,11,市二宫,"23 6m 31.2512s N, 113 15m 52.422s E"
2,12,海珠广场,"23 7m 2.92589s N, 113 15m 36.0639s E"
2,13,公园前,"23 7m 41.2517s N, 113 15m 32.3587s E"
2,14,纪念堂,"23 8m 5.48185s N, 113 15m 29.1761s E"
2,15,越秀公园,"23 8m 33.7759s N, 113 15m 21.743s E"
2,16,广州火车站,"23 9m 2.9341s N, 113 15m 4.5985s E"
2,17,三元里,"23 9m 43.4507s N, 113 15m 5.48844s E"
2,18,飞翔公园,"23 10m 17.6796s N, 113 15m 30.3223s E"
2,19,白云公园,"23 11m 3.36333s N, 113 15m 56.2747s E"
2,20,白云文化广场,"23 11m 32.0011s N, 113 16m 12.9489s E"
2,21,萧岗,"23 12m 4.39553s N, 113 16m 31.2708s E"
2,22,江夏,"23 12m 50.1653s N, 113 16m 41.1711s E"
2,23,黄边,"23 13m 27.3755s N, 113 16m 55.2812s E"
2,24,嘉禾望岗,"23 14m 24.2826s N, 113 17m 1.98969s E"
3,1,番禺广场,"22 56m 17.0431s N, 113 22m 48.5008s E"
3,2,市桥,"22 57m 8.47073s N, 113 21m 22.513s E"
3,3,汉溪长隆,"22 59m 44.0866s N, 113 19m 29.1208s E"
3,4,大石,"23 1m 13.4931s N, 113 18m 58.8429s E"
3,5,厦滘,"23 2m 26.3533s N, 113 18m 55.5793s E"
3,6,沥滘,"23 3m 27.1465s N, 113 18m 49.2519s E"
3,7,大塘,"23 4m 50.1677s N, 113 18m 58.5876s E"
3,8,客村,"23 5m 55.752s N, 113 18m 53.7473s E"
3,9,广州塔,"23 6m 32.3557s N, 113 19m 5.55418s E"
3,10,珠江新城,"23 7m 18.8577s N, 113 18m 56.8854s E"
3,11,体育西路,"23 8m 1.48051s N, 113 18m 57.9495s E"
3,12,石牌桥,"23 8m 8.59483s N, 113 19m 36.1066s E"
3,13,岗顶,"23 8m 14.8232s N, 113 20m 2.9683s E"
3,14,华师,"23 8m 34.2528s N, 113 20m 23.55s E"
3,15,五山,"23 9m 19.3476s N, 113 20m 46.8369s E"
3,16,天河客运站,"23 10m 24.7777s N, 113 20m 17.3268s E"
4,1,南沙客运港,"22 46m 11.9838s N, 113 36m 21.3029s E"
4,2,南横,"22 45m 3.23422s N, 113 35m 21.5698s E"
4,3,塘坑,"22 45m 21.9294s N, 113 34m 4.72787s E"
4,4,大涌,"22 45m 43.3397s N, 113 33m 3.07314s E"
4,5,广隆,"22 46m 30.2406s N, 113 32m 8.02835s E"
4,6,飞沙角,"22 47m 5.1888s N, 113 32m 8.13438s E"
4,7,金洲,"22 47m 42.3254s N, 113 32m 1.3722s E"
4,8,蕉门,"22 48m 12.8975s N, 113 31m 20.2561s E"
4,9,黄阁,"22 49m 39.2905s N, 113 30m 48.7009s E"
4,10,黄阁汽车城,"22 50m 19.0517s N, 113 30m 16.0079s E"
4,11,庆盛,"22 52m 11.0732s N, 113 29m 6.41156s E"
4,12,东涌,"22 53m 17.8093s N, 113 28m 24.8669s E"
4,13,低涌,"22 55m 19.8077s N, 113 28m 46.0339s E"
4,14,海傍,"22 56m 32.0072s N, 113 28m 11.8424s E"
4,15,石碁,"22 57m 35.3633s N, 113 27m 35.2741s E"
4,17,新造,"23 1m 50.588s N, 113 24m 36.7139s E"
4,18,大学城南,"23 2m 45.0351s N, 113 23m 42.1377s E"
4,19,大学城北,"23 3m 38.2459s N, 113 22m 48.4599s E"
4,20,官洲,"23 4m 9.84133s N, 113 22m 16.8366s E"
4,21,万胜围,"23 6m 0.824292s N, 113 22m 45.4181s E"
4,22,车陂南,"23 7m 6.36773s N, 113 23m 2.55343s E"
4,23,车陂,"23 7m 37.0676s N, 113 23m 24.0916s E"
4,24,黄村,"23 8m 3.50189s N, 113 24m 6.29528s E"
5,1,滘口,"23 6m 59.1958s N, 113 12m 11.0909s E"
5,2,坦尾,"23 7m 40.4063s N, 113 12m 46.9468s E"
5,3,中山八,"23 7m 43.3829s N, 113 13m 38.623s E"
5,4,西场,"23 8m 24.1866s N, 113 13m 57.8176s E"
5,5,西村,"23 8m 40.8596s N, 113 14m 12.0904s E"
5,6,广州火车站,"23 9m 2.9341s N, 113 15m 4.5985s E"
5,7,小北,"23 8m 31.5263s N, 113 16m 17.6476s E"
5,8,淘金,"23 8m 20.4848s N, 113 16m 52.3285s E"
5,9,区庄,"23 8m 13.6659s N, 113 17m 28.9106s E"
5,10,动物园,"23 8m 13.6796s N, 113 18m 6.88381s E"
5,11,杨箕,"23 7m 50.7617s N, 113 18m 12.5846s E"
5,12,五羊邨,"23 7m 20.8821s N, 113 18m 31.8893s E"
5,13,珠江新城,"23 7m 18.8577s N, 113 18m 56.8854s E"
5,14,猎德,"23 7m 16.0705s N, 113 19m 36.0419s E"
5,15,潭村,"23 7m 11.7554s N, 113 20m 25.7796s E"
5,16,员村,"23 7m 5.8953s N, 113 21m 29.4341s E"
5,17,科韵路,"23 7m 18.4661s N, 113 22m 18.1505s E"
5,18,车陂南,"23 7m 6.36773s N, 113 23m 2.55343s E"
5,19,东圃,"23 6m 42.8183s N, 113 23m 45.7387s E"
5,20,三溪,"23 6m 23.77s N, 113 24m 36.9473s E"
5,21,鱼珠,"23 6m 10.6175s N, 113 25m 36.3202s E"
5,22,大沙地,"23 6m 20.7485s N, 113 26m 26.1294s E"
5,23,大沙东,"23 6m 31.5909s N, 113 27m 11.0176s E"
5,24,文冲,"23 6m 22.9705s N, 113 27m 48.8811s E"
6,1,浔峰岗,"23 10m 0.217125s N, 113 11m 47.6453s E"
6,2,横沙,"23 9m 38.9307s N, 113 12m 5.13462s E"
6,3,沙贝,"23 9m 18.2386s N, 113 12m 21.7424s E"
6,4,河沙,"23 8m 17.618s N, 113 12m 43.4046s E"
6,5,坦尾,"23 7m 40.4063s N, 113 12m 46.9468s E"
6,6,如意坊,"23 7m 3.54955s N, 113 13m 33.1529s E"
6,7,黄沙,"23 6m 47.5443s N, 113 14m 4.30756s E"
6,8,文化公园,"23 6m 42.7427s N, 113 14m 37.1507s E"
6,9,一德路,"23 6m 56.5993s N, 113 15m 6.75582s E"
